date,CamborneMonthlyDD,CamborneAnnualDD,BelfastMonthlyDD,BelfastAnnualDD,AviemoreMonthlyDD,AviemoreAnnualDD
2007-09-01,51.0474,51.0474,89.5776,51.0474,162.999,,
2007-10-01,88.7083,88.7083,122.203,88.7083,183.557,,
2007-11-01,170.458,170.458,220.024,170.458,296.735,,
2007-12-01,215.5,215.5,292.693,215.5,393.167,,
2008-01-01,220.274,220.274,313.189,220.274,399.343,,
2008-02-01,220.255,220.255,290.44,220.255,338.115,220.255
2008-03-01,239.446,239.446,315.923,239.446,395.536,239.446
2008-04-01,218.542,218.542,239.755,218.542,315.644,218.542
2008-05-01,90.0803,90.0803,100.551,90.0803,162.68,90.0803
2008-06-01,68.0836,68.0836,89.5335,68.0836,133.734,68.0836
2008-07-01,32.5,32.5,46.3328,32.5,75.1459,32.5
2008-08-01,24.3542,1639.2488,38.4692,2158.6911,79.7232,2936.3791
2008-09-01,63.9829,1652.1843,95.1789,2164.2924,142.784,2916.1641
2008-10-01,132.167,1695.643,210.771,2252.8604,282.205,3014.8121
2008-11-01,190.368,1715.553,263.435,2296.2714,344.826,3062.9031
2008-12-01,265.422,1765.475,350.184,2353.7624,448.788,3118.5241
2009-01-01,295.282,1840.483,354.052,2394.6254,405.358,3124.5391
2009-02-01,268.292,1888.52,297.948,2402.1334,369.665,3156.0891
2009-03-01,232.792,1881.866,276.04,2362.2504,334.229,3094.7821
2009-04-01,191.338,1854.662,194.498,2316.9934,221.577,3000.7151
2009-05-01,133.958,1898.5397,148.505,2364.9474,200.024,3038.0591
2009-06-01,50.2313,1880.6874,69.6862,2345.1001,141.75,3046.0751
2009-07-01,26.375,1874.5624,41.6357,2340.403,86.3461,3057.2753
2009-08-01,19.5625,1869.7707,37.4375,2339.3713,75.2076,3052.7597
2009-09-01,50.3313,1856.1191,83.9253,2328.1177,119.073,3029.0487
2009-10-01,83.7951,1807.7472,132.696,2250.0427,213.974,2960.8177
2009-11-01,156.224,1773.6032,247.613,2234.2207,324.431,2940.4227
2009-12-01,280.087,1788.2682,378.742,2262.7787,517.275,3008.9097
2010-01-01,348.984,1841.9702,413.036,2321.7627,489.356,3092.907
2010-02-01,283.616,1857.2942,373.708,2397.5227,464.917,3188.1597
2010-03-01,277.021,1901.5232,319.205,2440.6877,393.219,3247.1497
2010-04-01,198.048,1908.2332,212.189,2458.3787,273.615,3299.1877
2010-05-01,147.202,1921.4772,168.425,2478.2987,235.659,3334.8227
2010-06-01,49.8542,1921.1001,55.1875,2463.8,103.116,3296.1887
2010-07-01,17.3656,1912.0907,34.4651,2456.6294,84.0365,3293.8791
2010-08-01,26.1514,1918.6796,66.4259,2485.6178,115.078,3333.7495
2010-09-01,47.2153,1915.5636,75.7644,2477.4569,150.934,3365.6105
2010-10-01,113.824,1945.5925,180.122,2524.8829,251.253,3402.8895
2010-11-01,232.483,2021.8515,320.49,2597.7599,406.266,3484.7245
2010-12-01,359.718,2101.4825,495.312,2714.3299,570.779,3538.2285
2011-01-01,301.262,2053.7605,390.757,2692.0509,429.686,3478.5585
2011-02-01,199.638,1969.7825,256.146,2574.4889,339.649,3353.2905
2011-03-01,248.609,1941.3705,291.447,2546.7309,341.739,3301.8105
2011-04-01,130.822,1874.1445,137.596,2472.1379,179.024,3207.2195
2011-05-01,112.319,1839.2615,140.691,2444.4039,197.495,3169.0555
2011-06-01,78.8653,1868.2726,108.651,2497.8674,154.382,3220.3215
2011-07-01,46.8104,1897.7174,68.193,2531.5953,107.053,3243.338
2011-08-01,38.2463,1909.8123,65.7292,2530.8986,124.937,3253.197
2011-09-01,36.7521,1899.3491,73.1593,2528.2935,125.656,3227.919
2011-10-01,77.0533,1862.5784,131.205,2479.3765,193.394,3170.06
2011-11-01,117.504,1747.5994,175.644,2334.5305,253.708,3017.502
2011-12-01,211,1598.8814,317.458,2156.6765,413.306,2860.029
