P,hf,hg
0.76322,-204.22,220.54
17.609,-97.855,291.92
34.456,-65.163,314.02
51.302,-43.185,328.81
68.148,-26.109,340.24
84.994,-11.916,349.69
101.84,0.3528,357.81
118.69,11.234,364.98
135.53,21.061,371.42
152.38,30.056,377.28
169.23,38.377,382.68
186.07,46.138,387.69
202.92,53.425,392.37
219.76,60.306,396.77
236.61,66.834,400.92
253.46,73.052,404.86
270.3,78.995,408.6
287.15,84.693,412.18
303.99,90.171,415.6
320.84,95.449,418.88
337.69,100.54,422.03
354.53,105.48,425.07
371.38,110.25,427.99
388.23,114.89,430.83
405.07,119.4,433.56
421.92,123.78,436.22
438.76,128.06,438.79
455.61,132.22,441.29
472.46,136.29,443.72
489.3,140.27,446.08
506.15,144.16,448.38
522.99,147.97,450.62
539.84,151.7,452.81
556.69,155.35,454.94
573.53,158.94,457.03
590.38,162.46,459.06
607.23,165.92,461.05
624.07,169.32,463
640.92,172.66,464.91
657.76,175.95,466.77
674.61,179.19,468.6
691.46,182.37,470.39
708.3,185.51,472.15
725.15,188.6,473.87
742,191.65,475.56
758.84,194.66,477.22
775.69,197.62,478.85
792.53,200.55,480.45
809.38,203.44,482.02
826.23,206.29,483.57
843.07,209.11,485.08
859.92,211.89,486.58
876.76,214.64,488.04
893.61,217.36,489.49
910.46,220.05,490.91
927.3,222.71,492.3
944.15,225.34,493.68
961,227.95,495.03
977.84,230.52,496.36
994.69,233.07,497.68
1011.5,235.6,498.97
1028.4,238.1,500.24
1045.2,240.58,501.49
1062.1,243.03,502.73
1078.9,245.46,503.95
1095.8,247.87,505.15
1112.6,250.26,506.33
1129.5,252.62,507.49
1146.3,254.97,508.64
1163.1,257.3,509.77
1180,259.61,510.89
1196.8,261.9,511.99
1213.7,264.17,513.08
1230.5,266.42,514.15
1247.4,268.66,515.2
1264.2,270.88,516.24
1281.1,273.08,517.27
1297.9,275.27,518.28
1314.8,277.44,519.28
1331.6,279.59,520.26
1348.5,281.73,521.24
1365.3,283.86,522.19
1382.2,285.97,523.14
1399,288.07,524.07
1415.8,290.15,524.99
1432.7,292.23,525.9
1449.5,294.28,526.8
1466.4,296.33,527.68
1483.2,298.36,528.55
1500.1,300.38,529.41
1516.9,302.39,530.26
1533.8,304.39,531.1
1550.6,306.37,531.92
1567.5,308.34,532.73
1584.3,310.31,533.54
1601.2,312.26,534.33
1618,314.2,535.11
1634.8,316.13,535.88
1651.7,318.05,536.64
1668.5,319.96,537.38
1685.4,321.87,538.12
1702.2,323.76,538.85
1719.1,325.64,539.56
1735.9,327.51,540.27
1752.8,329.38,540.97
1769.6,331.24,541.65
1786.5,333.08,542.33
1803.3,334.92,542.99
1820.2,336.75,543.65
1837,338.58,544.29
1853.8,340.39,544.93
1870.7,342.2,545.56
1887.5,344,546.17
1904.4,345.79,546.78
1921.2,347.58,547.37
1938.1,349.35,547.96
1954.9,351.13,548.54
1971.8,352.89,549.1
1988.6,354.65,549.66
2005.5,356.4,550.21
2022.3,358.14,550.75
2039.2,359.88,551.27
2056,361.62,551.79
2072.8,363.34,552.3
2089.7,365.07,552.8
2106.5,366.78,553.29
2123.4,368.49,553.77
2140.2,370.2,554.24
2157.1,371.9,554.7
2173.9,373.59,555.15
2190.8,375.28,555.59
2207.6,376.97,556.02
2224.5,378.65,556.44
2241.3,380.32,556.85
2258.2,382,557.26
2275,383.66,557.65
2291.8,385.33,558.03
2308.7,386.99,558.4
2325.5,388.64,558.76
2342.4,390.3,559.11
2359.2,391.95,559.45
2376.1,393.59,559.78
2392.9,395.23,560.09
2409.8,396.87,560.4
2426.6,398.51,560.7
2443.5,400.15,560.98
2460.3,401.78,561.26
2477.2,403.41,561.52
2494,405.03,561.77
2510.8,406.66,562.01
2527.7,408.28,562.24
2544.5,409.91,562.46
2561.4,411.53,562.66
2578.2,413.15,562.86
2595.1,414.77,563.03
2611.9,416.39,563.2
2628.8,418,563.35
2645.6,419.62,563.49
2662.5,421.24,563.62
2679.3,422.86,563.73
2696.2,424.48,563.83
2713,426.09,563.91
2729.8,427.72,563.98
2746.7,429.34,564.03
2763.5,430.96,564.07
2780.4,432.59,564.09
2797.2,434.22,564.09
2814.1,435.85,564.08
2830.9,437.49,564.04
2847.8,439.13,563.99
2864.6,440.77,563.92
2881.5,442.42,563.83
2898.3,444.08,563.71
2915.2,445.74,563.58
2932,447.41,563.41
2948.8,449.09,563.23
2965.7,450.78,563.02
2982.5,452.48,562.78
2999.4,454.18,562.51
3016.2,455.91,562.21
3033.1,457.64,561.88
3049.9,459.4,561.51
3066.8,461.17,561.1
3083.6,462.96,560.65
3100.5,464.77,560.15
3117.3,466.61,559.61
3134.2,468.48,559.01
3151,470.38,558.34
3167.8,472.32,557.61
3184.7,474.31,556.8
3201.5,476.36,555.9
3218.4,478.47,554.89
3235.2,480.66,553.76
3252.1,482.94,552.48
3268.9,485.36,551
3285.8,487.95,549.28
3302.6,490.78,547.21
3319.5,493.98,544.65
3336.3,497.81,541.24
3353.2,503.08,536.01
3353.2,503.08,
3353.2,536.01,
