P0.9,h0.9,T,P1.0,h1.0,T,P1.1,h1.1,T,P1.2,h1.2,T
10000,305.62,157.2,10000,349.71,179.9,6070,383.09,180,3000,407.44,179.8
8000,302.06,147.2,8000,344.83,167.9,4000,371.84,158.2,2000,394.51,162.5
6000,297.85,132.2,6000,338.54,151.3,2000,352.84,126.2,1000,372.58,135.5
4000,291.36,109.1,4000,330.28,128.4,1000,334.02,99,500,351.33,110.8
3000,286.64,89.91,3000,323.75,113.1,800,327.62,90.51,400,344.82,103.3
2000,279.31,69.68,2000,314.66,93.67,600,320.09,80.55,300,336.3,93.55
1000,265.97,39.68,1000,298.27,64.67,400,309.03,66.4,200,324.8,80.43
500,252.25,19.43,500,281.89,39.38,300,301.52,56.89,100,305.68,58.39
400,247.84,9.573,300,270.22,22.38,200,291.21,43.9,,,
300,242.15,8.421,200,261.16,9.504,100,274.34,22.56,,,
200,234.39,-10.46,100,246.58,-11.13,,,,,,
100,221.58,-20.79,,,,,,,,,
